,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Calvin Johnson *+,DET,27,WR,16,16,204,122,59.8%,1964,16.1,5,92,53,9.6,7.6,122.8,3
1,2,Brandon Marshall*+,CHI,28,WR,16,16,192,118,61.5%,1508,12.8,11,74,56,7.9,7.4,94.3,2
2,3,Wes Welker*,NWE,31,WR,16,12,174,118,67.8%,1354,11.5,6,71,59,7.8,7.4,84.6,3
3,4,Andre Johnson *,HOU,31,WR,16,16,162,112,69.1%,1598,14.3,4,79,60,9.9,7.0,99.9,0
4,5,Jason Witten*,DAL,30,TE,16,16,147,110,74.8%,1039,9.4,3,56,36,7.1,6.9,64.9,0
5,6,Reggie Wayne*,IND,34,WR,16,15,195,106,54.4%,1355,12.8,5,73,33,6.9,6.6,84.7,1
6,7,A.J. Green*,CIN,24,WR,16,16,164,97,59.1%,1350,13.9,11,61,73,8.2,6.1,84.4,2
7,8,Demaryius Thomas*,DEN,25,WR,16,16,143,94,65.7%,1434,15.3,10,60,71,10.0,5.9,89.6,3
8,9,Tony Gonzalez*+,ATL,36,TE,16,16,124,93,75.0%,930,10.0,8,65,25,7.5,5.8,58.1,0
9,10,Dez Bryant,DAL,24,WR,16,14,138,92,66.7%,1382,15.0,12,54,85,10.0,5.8,86.4,5
10,11,Roddy White,ATL,31,WR,16,15,142,92,64.8%,1351,14.7,7,73,59,9.5,5.8,84.4,1
11,12,Victor Cruz*,NYG,26,WR,16,16,143,86,60.1%,1092,12.7,10,52,80,7.6,5.4,68.3,0
12,13,Michael Crabtree,SFO,25,WR,16,16,127,85,66.9%,1105,13.0,9,57,49,8.7,5.3,69.1,0
13,14,Eric Decker,DEN,25,WR,16,15,122,85,69.7%,1064,12.5,13,53,55,8.7,5.3,66.5,0
14,15,Jimmy Graham,NOR,26,TE,15,9,135,85,63.0%,982,11.6,9,59,46,7.3,5.7,65.5,1
15,16,Marques Colston,NOR,29,WR,16,13,130,83,63.8%,1154,13.9,10,64,60,8.9,5.2,72.1,4
16,17,Randall Cobb,GNB,22,WR,15,8,104,80,76.9%,954,11.9,8,47,39,9.2,5.3,63.6,4
17,18,Steve Johnson,BUF,26,WR,16,16,148,79,53.4%,1046,13.2,6,52,63,7.1,4.9,65.4,1
18,19,Julio Jones *,ATL,23,WR,16,15,128,79,61.7%,1198,15.2,10,56,80,9.4,4.9,74.9,0
19,20,Brandon Myers,OAK,27,TE,16,16,105,79,75.2%,806,10.2,4,42,29,7.7,4.9,50.4,0
20,21,Darren Sproles ,NOR,29,RB,13,6,104,75,72.1%,667,8.9,7,30,44,6.4,5.8,51.3,0
21,22,Brian Hartline ,MIA,26,WR,16,15,131,74,56.5%,1083,14.6,1,49,80,8.3,4.6,67.7,1
22,23,Brandon Lloyd,NWE,31,WR,16,15,131,74,56.5%,911,12.3,4,50,53,7.0,4.6,56.9,0
23,24,Steve Smith,CAR,33,WR,16,16,137,73,53.3%,1174,16.1,4,52,66,8.6,4.6,73.4,1
24,25,Vincent Jackson*,TAM,29,WR,16,16,147,72,49.0%,1384,19.2,8,61,95,9.4,4.5,86.5,0
25,26,Larry Fitzgerald*,ARI,29,WR,16,16,156,71,45.5%,798,11.2,4,45,37,5.1,4.4,49.9,0
26,27,Heath Miller*,PIT,30,TE,15,15,101,71,70.3%,816,11.5,8,44,43,8.1,4.7,54.4,0
27,28,Jeremy Maclin,PHI,24,WR,15,15,122,69,56.6%,857,12.4,7,37,70,7.0,4.6,57.1,1
28,29,Greg Olsen,CAR,27,TE,16,16,104,69,66.3%,843,12.2,5,44,47,8.1,4.3,52.7,0
29,30,Miles Austin,DAL,28,WR,16,15,119,66,55.5%,943,14.3,6,49,49,7.9,4.1,58.9,1
30,31,Antonio Brown ,PIT,24,WR,13,10,106,66,62.3%,787,11.9,5,43,60,7.4,5.1,60.5,4
31,32,Anquan Boldin,BAL,32,WR,15,15,112,65,58.0%,921,14.2,4,45,43,8.2,4.3,61.4,0
32,33,Lance Moore,NOR,29,WR,15,7,104,65,62.5%,1041,16.0,6,55,51,10.0,4.3,69.4,0
33,34,Justin Blackmon,JAX,22,WR,16,14,132,64,48.5%,865,13.5,5,41,81,6.6,4.0,54.1,1
34,35,Jermaine Gresham*,CIN,24,TE,16,15,94,64,68.1%,737,11.5,5,33,55,7.8,4.0,46.1,2
35,36,James Jones,GNB,28,WR,16,16,98,64,65.3%,784,12.3,14,45,49,8.0,4.0,49.0,0
36,37,Andre Roberts,ARI,24,WR,15,15,114,64,56.1%,759,11.9,5,40,46,6.7,4.3,50.6,1
37,38,Mike Wallace,PIT,26,WR,15,14,119,64,53.8%,836,13.1,8,33,82,7.0,4.3,55.7,2
38,39,Kendall Wright,TEN,23,wr,15,5,104,64,61.5%,626,9.8,4,38,38,6.0,4.3,41.7,1
39,40,Danny Amendola,STL,27,WR,11,8,101,63,62.4%,666,10.6,3,39,56,6.6,5.7,60.5,3
40,41,Mike Williams,TAM,25,WR,16,16,126,63,50.0%,996,15.8,9,44,65,7.9,3.9,62.3,0
41,42,Owen Daniels*,HOU,30,TE,15,14,104,62,59.6%,716,11.5,6,38,39,6.9,4.1,47.7,0
42,43,Percy Harvin,MIN,24,WR,9,8,85,62,72.9%,677,10.9,3,37,45,8.0,6.9,75.2,2
43,44,Davone Bess,MIA,27,WR,13,13,104,61,58.7%,778,12.8,1,38,39,7.5,4.7,59.8,1
