,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Danny Amendola,STL,24,,14,2,31,360,0,56,11.6,66,1618,0,58,24.5,2302
3,2,Josh Cribbs*+,CLE,26,WR,16,12,38,452,1,67,11.9,56,1542,3,103,27.5,2510
4,3,Stefan Logan,PIT,28,,16,1,30,280,0,25,9.3,55,1466,0,83,26.7,1751
5,4,Darren Sproles ,SDG,26,,16,2,26,183,1,77,7.0,54,1300,0,66,24.1,2323
6,5,Eric Weems,ATL,24,,16,0,27,270,0,28,10.0,48,1214,0,62,25.3,1587
7,6,Domenik Hixon,NYG,25,,14,2,17,256,1,79,15.1,57,1291,0,68,22.6,1734
8,7,Jacoby Jones,HOU,25,,14,1,39,426,0,62,10.9,24,638,1,95,26.6,1523
9,8,Ted Ginn Jr.,MIA,24,WR,16,12,5,28,0,12,5.6,52,1296,2,101,24.9,1826
10,9,Eddie Royal,DEN,23,WR,14,12,30,335,1,71,11.2,26,621,1,93,23.9,1302
11,10,Clifton Smith,TAM,24,,11,0,23,232,0,21,10.1,31,902,0,83,29.1,1139
12,11,Quan Cosby,CIN,27,,16,0,40,474,0,60,11.9,13,239,0,31,18.4,766
13,12,LaRod Stephens-Howling,ARI,22,,16,2,,,,,,52,1257,1,99,24.2,1355
14,13,Fred Jackson,BUF,28,RB,16,11,6,69,0,27,11.5,41,1014,0,71,24.7,2516
15,14,Chris Carr,BAL,26,,16,4,32,262,0,34,8.2,13,315,0,41,24.2,601
16,15,Aaron Brown,DET,24,,15,2,,,,,,42,951,0,87,22.6,1166
17,16,Percy Harvin*,MIN,21,wr,15,8,,,,,,42,1156,2,101,27.5,2081
18,17,Jordy Nelson,GNB,24,,13,0,17,90,0,14,5.3,25,635,0,54,25.4,1045
19,18,Courtney Roby,NOR,26,,15,0,,,,,,42,1154,1,97,27.5,1160
20,19,Derrick Williams,DET,23,,11,0,,,,,,42,931,0,34,22.2,987
21,20,Mike Thomas,JAX,22,,14,4,14,118,0,44,8.4,26,644,0,43,24.8,1301
22,21,Rock Cartwright,WAS,30,,16,2,,,,,,39,868,0,42,22.3,1338
23,22,Steve Breaston,ARI,26,wr,15,6,38,253,0,64,6.7,,,,,,1009
24,23,Chad Simpson,IND,24,,14,0,,,,,,38,898,1,93,23.6,1001
25,24,Brian Witherspoon,2TM,24,,8,0,9,88,0,42,9.8,28,640,0,42,22.9,728
26,25,Jamaal Charles,KAN,23,RB,15,10,,,,,,36,925,1,97,25.7,2342
27,26,Patrick Crayton,DAL,30,wr,16,6,36,437,2,82,12.1,,,,,,1087
28,27,Roscoe Parrish,BUF,27,,12,0,24,133,0,31,5.5,11,258,0,31,23.5,425
29,28,Lardarius Webb,BAL,24,,14,4,0,-1,0,-1,,35,918,1,95,26.2,917
30,29,Justin Forsett,SEA,24,,16,2,16,92,0,20,5.8,18,432,0,46,24.0,1493
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Johnnie Lee Higgins,OAK,26,wr,15,5,34,177,0,19,5.2,,,,,,461
33,31,Darius Reynaud,MIN,25,,11,0,30,308,0,36,10.3,4,90,0,30,22.5,398
34,32,Andre' Davis,HOU,30,,14,1,,,,,,33,782,0,63,23.7,841
35,33,Johnny Knox*,CHI,23,,15,0,1,0,0,0,0.0,32,927,1,102,29.0,1454
36,34,Captain Munnerlyn,CAR,21,,15,4,31,278,0,37,9.0,1,15,0,15,15.0,293
37,35,Nate Burleson,SEA,28,WR,13,12,30,254,0,29,8.5,1,2,0,2,2.0,1072
38,36,Devin Hester,CHI,27,WR,13,12,24,187,0,33,7.8,7,156,0,44,22.3,1099
39,37,DeSean Jackson*,PHI,23,WR,15,15,29,441,2,85,15.2,1,0,0,0,0.0,1734
40,38,Felix Jones,DAL,22,,14,1,,,,,,30,678,0,41,22.6,1482
41,39,Andre Caldwell,CIN,24,,16,3,,,,,,29,539,0,39,18.6,993
42,40,Wes Welker*+,NWE,28,WR,14,13,27,338,0,69,12.5,2,45,0,27,22.5,1767
43,41,Davone Bess,MIA,24,,16,2,28,209,0,22,7.5,,,,,,978
44,42,Jonathan Holland ,OAK,24,,14,0,,,,,,28,550,0,60,19.6,550
45,43,Danieal Manning,CHI,27,FS,15,10,,,,,,28,744,0,59,26.6,783
46,44,T.J. Rushing,IND,26,,15,0,21,119,0,22,5.7,7,127,0,22,18.1,246
47,45,Reggie Bush,NOR,24,RB,14,8,27,130,0,23,4.8,,,,,,855
48,46,Dennis Northcutt,DET,32,,16,2,22,189,0,43,8.6,3,66,0,34,22.0,612
49,47,Arnaz Battle,SFO,29,,15,0,21,61,0,18,2.9,3,68,0,26,22.7,169
50,48,Kenny Britt,TEN,21,wr,16,6,,,,,,24,523,0,56,21.8,1224
51,49,Jerricho Cotchery,NYJ,27,WR,14,12,23,236,0,31,10.3,1,17,0,17,17.0,1081
52,50,Sammie Stroughter,TAM,23,,13,0,12,119,0,33,9.9,11,324,1,97,29.5,777
53,51,Jim Leonhard,NYJ,27,SS,16,16,21,173,0,37,8.2,1,7,0,7,7.0,224
54,52,Louis Rankin,2TM,24,,9,0,,,,,,22,466,0,41,21.2,535
55,53,Bobby Wade,KAN,28,wr,12,6,21,160,0,18,7.6,,,,,,538
56,54,Ellis Hobbs,PHI,26,,8,0,,,,,,20,481,0,63,24.1,481
57,55,Allen Rossum,2TM,34,,4,0,12,84,0,14,7.0,8,168,0,40,21.0,252
58,56,Devin Thomas,WAS,23,WR,14,10,,,,,,20,439,0,39,22.0,762
59,57,Victor Harris,PHI,23,fs,15,8,,,,,,19,394,0,32,20.7,394
60,58,Alvin Pearman,TEN,27,,5,0,11,112,0,18,10.2,8,174,0,27,21.8,286
61,59,Michael Robinson,SFO,26,,15,0,,,,,,18,414,0,40,23.0,440
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Gary Russell,OAK,23,,12,4,,,,,,18,330,0,41,18.3,426
64,61,Leon Washington,NYJ,27,,7,0,2,16,0,12,8.0,16,385,0,43,24.1,863
65,62,Julian Edelman,NWE,23,WR,11,7,6,63,0,35,10.5,11,241,0,32,21.9,668
