,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Jay Feely,NYG,29,,16,0,,,13,11,14,13,10,8,5,3,42,35,52,83.3%,43,43,100.0%,98,6170,12,12.2%,63.0,,,,,
3,2,Neil Rackers*+,ARI,29,,15,0,,,11,11,10,10,14,13,7,6,42,40,54,95.2%,20,20,100.0%,61,4069,22,36.1%,66.7,,,,,
4,3,Rian Lindell,BUF,28,,16,0,,,9,8,13,11,10,7,3,3,35,29,53,82.9%,26,26,100.0%,69,4156,2,2.9%,60.2,,,,,
5,4,Paul Edinger,MIN,27,,16,0,,,11,11,8,3,10,8,5,3,34,25,56,73.5%,31,31,100.0%,72,4246,,,59.0,2,75,40,0,37.5
6,5,John Kasay,CAR,36,,16,0,1,1,8,8,8,8,9,6,8,3,34,26,52,76.5%,44,43,97.7%,81,5113,3,3.7%,63.1,1,36,36,0,36.0
7,6,Kris Brown,HOU,29,,16,0,,,9,9,17,12,6,4,2,1,34,26,53,76.5%,24,24,100.0%,68,4385,11,16.2%,64.5,,,,,
8,7,Matt Stover,BAL,37,,16,0,1,1,8,8,11,10,14,11,,,34,30,49,88.2%,23,23,100.0%,33,1891,1,3.0%,57.3,,,,,
9,8,Lawrence Tynes,KAN,27,,16,0,1,1,8,8,13,12,8,4,3,2,33,27,52,81.8%,45,44,97.8%,88,5364,2,2.3%,61.0,,,,,
10,9,John Carney,NOR,41,,16,0,1,1,13,12,6,4,12,8,,,32,25,49,78.1%,22,22,100.0%,14,886,1,7.1%,63.3,,,,,
11,10,Jason Elam,DEN,35,,16,0,,,10,9,5,5,13,9,4,1,32,24,51,75.0%,44,43,97.7%,1,54,,,54.0,,,,,
12,11,Shayne Graham*,CIN,28,,16,0,,,11,11,11,10,9,7,1,,32,28,49,87.5%,47,47,100.0%,91,5470,2,2.2%,60.1,,,,,
13,12,Jeff Wilkins ,STL,33,,16,0,,,7,6,8,8,11,9,5,4,31,27,53,87.1%,36,36,100.0%,80,5045,6,7.5%,63.1,1,35,35,0,35.0
14,13,Olindo Mare,MIA,32,,16,0,,,10,9,12,9,6,6,2,1,30,25,53,83.3%,33,33,100.0%,73,4837,16,21.9%,66.3,1,8,8,0,8.0
15,14,Sebastian Janikowski,OAK,27,,16,0,1,1,8,7,6,5,12,7,3,,30,20,49,66.7%,30,30,100.0%,67,4107,11,16.4%,61.3,,,,,
16,15,Josh Scobee ,JAX,23,,16,0,,,9,9,8,7,10,5,3,2,30,23,53,76.7%,39,38,97.4%,79,5094,20,25.3%,64.5,,,,,
17,16,Phil Dawson,CLE,30,,16,0,2,2,11,11,11,9,5,5,,,29,27,44,93.1%,21,19,90.5%,61,3651,3,4.9%,59.9,2,53,31,0,26.5
18,17,Rob Bironas,TEN,27,,16,0,,,10,10,7,6,7,5,5,2,29,23,53,79.3%,32,30,93.8%,71,4483,11,15.5%,63.1,,,,,
19,18,Jeff Reed,PIT,26,,16,0,,,9,9,9,9,9,6,2,,29,24,44,82.8%,45,45,100.0%,84,5105,5,6.0%,60.8,,,,,
20,19,Mike Nugent,NYJ,23,,16,0,,,9,8,7,7,10,7,2,,28,22,49,78.6%,24,24,100.0%,63,3683,1,1.6%,58.5,1,18,18,0,18.0
21,20,Joe Nedney,SFO,32,,15,0,,,4,4,11,10,10,10,3,2,28,26,56,92.9%,19,19,100.0%,58,3447,6,10.3%,59.4,,,,,
22,21,Robbie Gould,CHI,23,,13,0,,,9,9,10,9,8,3,,,27,21,45,77.8%,20,19,95.0%,54,3316,1,1.9%,61.4,1,28,28,0,28.0
23,22,Ryan Longwell ,GNB,31,,16,0,,,7,7,10,6,5,3,5,4,27,20,53,74.1%,31,30,96.8%,69,4202,3,4.3%,60.9,,,,,
24,23,Josh Brown ,SEA,26,,16,0,,,5,5,5,4,7,4,8,5,25,18,55,72.0%,57,56,98.2%,89,5598,4,4.5%,62.9,1,20,20,0,20.0
25,24,Matt Bryant,TAM,30,,15,0,,,4,2,8,8,11,10,2,1,25,21,50,84.0%,31,31,100.0%,,,,,,,,,,
26,25,Todd Peterson,ATL,35,,16,0,,,10,9,11,11,4,3,,,25,23,43,92.0%,35,35,100.0%,,,,,,,,,,
27,26,Mike Vanderjagt,IND,35,,16,0,1,1,9,9,7,6,8,7,,,25,23,48,92.0%,52,52,100.0%,1,36,,,36.0,,,,,
28,27,Adam Vinatieri,NWE,33,,16,0,,,7,7,10,9,6,4,2,,25,20,49,80.0%,41,40,97.6%,80,4892,10,12.5%,61.2,,,,,
