,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Jarvis Landry *,MIA,25,WR,16,16,161,112,69.6%,987,8.8,9,62,49,6.1,7.0,61.7,4
1,2,Larry Fitzgerald*,ARI,34,WR,16,16,161,109,67.7%,1156,10.6,6,65,37,7.2,6.8,72.3,1
2,3,Michael Thomas*,NOR,24,WR,16,14,149,104,69.8%,1245,12.0,5,71,43,8.4,6.5,77.8,0
3,4,Keenan Allen*,LAC,25,WR,16,15,159,102,64.2%,1393,13.7,6,74,51,8.8,6.4,87.1,1
4,5,Antonio Brown *+,PIT,29,WR,14,14,163,101,62.0%,1533,15.2,9,69,57,9.4,7.2,109.5,4
5,6,DeAndre Hopkins*+,HOU,25,WR,15,15,174,96,55.2%,1378,14.4,13,69,72,7.9,6.4,91.9,1
6,7,Golden Tate,DET,29,WR,16,12,120,92,76.7%,1003,10.9,5,44,71,8.4,5.8,62.7,1
7,8,Adam Thielen*,MIN,27,WR,16,16,142,91,64.1%,1276,14.0,4,59,65,9.0,5.7,79.8,3
8,9,Julio Jones *,ATL,28,WR,16,16,148,88,59.5%,1444,16.4,3,67,53,9.8,5.5,90.3,0
9,10,Le'Veon Bell*+,PIT,25,RB,15,15,106,85,80.2%,655,7.7,2,32,42,6.2,5.7,43.7,3
10,11,Travis Kelce*,KAN,28,TE,15,15,122,83,68.0%,1038,12.5,8,53,44,8.5,5.5,69.2,0
11,12,Demaryius Thomas,DEN,30,WR,16,16,140,83,59.3%,949,11.4,5,53,40,6.8,5.2,59.3,1
12,13,Alvin Kamara*,NOR,22,rb,16,3,100,81,81.0%,826,10.2,5,38,40,8.3,5.1,51.6,1
13,14,Jack Doyle*,IND,27,TE,15,15,108,80,74.1%,690,8.6,4,36,26,6.4,5.3,46.0,2
14,15,Christian McCaffrey ,CAR,21,RB,16,10,113,80,70.8%,651,8.1,5,37,37,5.8,5.0,40.7,2
15,16,Doug Baldwin *,SEA,29,WR,16,16,116,75,64.7%,991,13.2,8,44,54,8.5,4.7,61.9,0
16,17,A.J. Green*,CIN,29,WR,16,16,143,75,52.4%,1078,14.4,8,55,77,7.5,4.7,67.4,2
17,18,Tyreek Hill*,KAN,23,WR,15,13,105,75,71.4%,1183,15.8,7,40,79,11.3,5.0,78.9,2
18,19,Davante Adams*,GNB,25,WR,14,14,117,74,63.2%,885,12.0,10,46,55,7.6,5.3,63.2,0
19,20,Zach Ertz*,PHI,27,TE,14,13,110,74,67.3%,824,11.1,8,46,53,7.5,5.3,58.9,1
20,21,Duke Johnson,CLE,24,,16,0,93,74,79.6%,693,9.4,3,32,41,7.5,4.6,43.3,4
21,22,Delanie Walker*,TEN,33,TE,16,11,111,74,66.7%,807,10.9,3,44,42,7.3,4.6,50.4,2
22,23,Mike Evans,TAM,24,WR,15,15,136,71,52.2%,1001,14.1,5,55,42,7.4,4.7,66.7,1
23,24,Dez Bryant,DAL,29,WR,16,16,132,69,52.3%,838,12.1,6,44,50,6.3,4.3,52.4,1
24,25,Rob Gronkowski *+,NWE,28,TE,14,14,105,69,65.7%,1084,15.7,8,57,53,10.3,4.9,77.4,1
25,26,Mohamed Sanu,ATL,28,WR,15,15,96,67,69.8%,703,10.5,5,41,25,7.3,4.5,46.9,0
26,27,Randall Cobb,GNB,27,WR,15,14,92,66,71.7%,653,9.9,4,30,46,7.1,4.4,43.5,1
27,28,Jamison Crowder,WAS,24,WR,15,6,103,66,64.1%,789,12.0,3,38,41,7.7,4.4,52.6,6
28,29,Brandin Cooks,NWE,24,WR,16,15,114,65,57.0%,1082,16.6,7,42,64,9.5,4.1,67.6,0
29,30,Jermaine Kearse,NYJ,27,WR,16,14,102,65,63.7%,810,12.5,5,37,51,7.9,4.1,50.6,1
30,31,Stefon Diggs,MIN,24,WR,14,14,95,64,67.4%,849,13.3,8,42,59,8.9,4.6,60.6,0
31,32,Evan Engram ,NYG,23,TE,15,11,115,64,55.7%,722,11.3,6,37,35,6.3,4.3,48.1,0
32,33,Todd Gurley*+,LAR,23,RB,15,15,87,64,73.6%,788,12.3,6,32,80,9.1,4.3,52.5,5
33,34,Robby Anderson,NYJ,24,WR,16,15,114,63,55.3%,941,14.9,7,38,69,8.3,3.9,58.8,0
34,35,Devin Funchess,CAR,23,WR,16,16,111,63,56.8%,840,13.3,8,40,44,7.6,3.9,52.5,0
35,36,Jason Witten*,DAL,35,TE,16,16,87,63,72.4%,560,8.9,5,26,28,6.4,3.9,35.0,1
36,37,Nelson Agholor,PHI,24,WR,16,10,95,62,65.3%,768,12.4,8,35,72,8.1,3.9,48.0,0
37,38,Cooper Kupp,LAR,24,wr,15,6,94,62,66.0%,869,14.0,5,42,64,9.2,4.1,57.9,1
38,39,Danny Amendola,NWE,32,wr,15,8,86,61,70.9%,659,10.8,2,40,27,7.7,4.1,43.9,2
39,40,Adam Humphries,TAM,24,,16,3,83,61,73.5%,631,10.3,1,36,43,7.6,3.8,39.4,1
40,41,Marvin Jones ,DET,27,WR,16,16,107,61,57.0%,1101,18.0,9,44,58,10.3,3.8,68.8,0
41,42,Ben Watson,BAL,37,TE,16,12,79,61,77.2%,522,8.6,4,30,33,6.6,3.8,32.6,1
42,43,Carlos Hyde,SFO,27,RB,16,16,88,59,67.0%,350,5.9,0,18,18,4.0,3.7,21.9,2
43,44,LeSean McCoy*,BUF,29,RB,16,16,77,59,76.6%,448,7.6,2,23,39,5.8,3.7,28.0,3
44,45,Sterling Shepard,NYG,24,WR,11,10,84,59,70.2%,731,12.4,2,36,77,8.7,5.4,66.5,1
45,46,Kendall Wright,CHI,28,WR,16,4,91,59,64.8%,614,10.4,1,33,22,6.7,3.7,38.4,0
46,47,Michael Crabtree,OAK,30,WR,14,14,101,58,57.4%,618,10.7,8,35,41,6.1,4.1,44.1,1
47,48,Melvin Gordon,LAC,24,RB,16,16,83,58,69.9%,476,8.2,4,22,49,5.7,3.6,29.8,1
48,49,Mark Ingram*,NOR,28,,16,12,71,58,81.7%,416,7.2,0,19,54,5.9,3.6,26.0,3
49,50,JuJu Smith-Schuster,PIT,21,wr,14,7,79,58,73.4%,917,15.8,7,37,97,11.6,4.1,65.5,0
50,51,Kenny Stills,MIA,25,WR,16,16,105,58,55.2%,847,14.6,6,36,61,8.1,3.6,52.9,4
51,52,Jimmy Graham*,SEA,31,TE,16,13,96,57,59.4%,520,9.1,10,34,33,5.4,3.6,32.5,0
52,53,T.Y. Hilton*,IND,28,WR,16,16,109,57,52.3%,966,16.9,4,38,80,8.9,3.6,60.4,2
53,54,Alshon Jeffery,PHI,27,WR,16,16,120,57,47.5%,789,13.8,9,44,53,6.6,3.6,49.3,0
54,55,DeVante Parker,MIA,24,WR,13,12,96,57,59.4%,670,11.8,1,34,36,7.0,4.4,51.5,1
55,56,Kyle Rudolph *,MIN,28,TE,16,16,81,57,70.4%,532,9.3,8,32,34,6.6,3.6,33.3,0
56,57,Marquise Goodwin,SFO,27,WR,16,16,105,56,53.3%,962,17.2,2,46,83,9.2,3.5,60.1,0
57,58,Marqise Lee ,JAX,26,WR,14,14,96,56,58.3%,702,12.5,3,40,45,7.3,4.0,50.1,1
58,59,James White ,NWE,25,,14,4,72,56,77.8%,429,7.7,3,25,27,6.0,4.0,30.6,0
59,60,Robert Woods,LAR,25,WR,12,11,85,56,65.9%,781,13.9,5,36,94,9.2,4.7,65.1,1
60,61,Jared Cook,OAK,30,TE,16,16,86,54,62.8%,688,12.7,2,35,35,8.0,3.4,43.0,1
61,62,Eric Decker,TEN,30,wr,16,8,83,54,65.1%,563,10.4,1,31,29,6.8,3.4,35.2,0
62,63,Tarik Cohen,CHI,22,,16,4,71,53,74.6%,353,6.7,1,9,70,5.0,3.3,22.1,3
63,64,Eric Ebron,DET,24,TE,16,9,86,53,61.6%,574,10.8,4,31,44,6.7,3.3,35.9,1
64,65,Ted Ginn Jr.,NOR,32,WR,15,10,70,53,75.7%,787,14.8,4,32,54,11.2,3.5,52.5,2
65,66,Kareem Hunt*,KAN,22,RB,16,16,63,53,84.1%,455,8.6,3,17,78,7.2,3.3,28.4,1
66,67,Rishard Matthews,TEN,28,WR,14,11,87,53,60.9%,795,15.0,4,36,75,9.1,3.8,56.8,0
67,68,Jordy Nelson,GNB,32,WR,15,15,88,53,60.2%,482,9.1,6,38,58,5.5,3.5,32.1,0
