,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,2013 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
1,Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
2,Bruce Arians,ARI,16,10,6,0,80,49,30,1,108,63,44,1,0,0,0,3,1,2,3,1,2,
3,Mike Smith,ATL,16,4,12,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,
4,John Harbaugh,BAL,16,8,8,0,202,124,78,0,202,124,78,0,0,0,0,17,10,7,17,10,7,
5,Doug Marrone,BUF,16,6,10,0,32,15,17,0,93,38,55,0,0,0,0,0,0,0,3,2,1,
6,Ron Rivera,CAR,16,12,4,0,140,76,63,1,151,80,70,1,1,0,1,7,3,4,7,3,4,
7,Marc Trestman,CHI,16,8,8,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,
8,Marvin Lewis,CIN,16,11,5,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
9,Rob Chudzinski,CLE,16,4,12,0,16,4,12,0,16,4,12,0,0,0,0,0,0,0,0,0,0,
10,Jason Garrett,DAL,16,8,8,0,152,85,67,0,152,85,67,0,0,0,0,5,2,3,5,2,3,
11,John Fox,DEN,16,13,3,0,64,46,18,0,256,133,123,0,3,2,1,7,3,4,15,8,7,AFC Champions
12,Jim Schwartz,DET,16,7,9,0,80,29,51,0,80,29,51,0,0,0,0,1,0,1,1,0,1,
13,Mike McCarthy,GNB,16,8,7,1,204,125,77,2,215,128,85,2,1,0,1,18,10,8,18,10,8,
14,Gary Kubiak,HOU,13,2,11,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
15,Wade Phillips,HOU,3,0,3,0,3,0,3,0,146,82,64,0,0,0,0,0,0,0,6,1,5,
16,Chuck Pagano,IND,16,11,5,0,96,53,43,0,96,53,43,0,2,1,1,6,3,3,6,3,3,
17,Gus Bradley,JAX,16,4,12,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
18,Andy Reid,KAN,16,11,5,0,123,87,36,0,347,217,129,1,1,0,1,10,5,5,29,15,14,
19,Joe Philbin,MIA,16,8,8,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,
20,Leslie Frazier,MIN,16,5,10,1,54,21,32,1,54,21,32,1,0,0,0,1,0,1,1,0,1,
21,Sean Payton,NOR,16,11,5,0,219,140,79,0,219,140,79,0,2,1,1,15,8,7,15,8,7,
22,Bill Belichick,NWE,16,12,4,0,331,242,89,0,411,278,133,0,2,1,1,41,30,11,43,31,12,
23,Tom Coughlin,NYG,16,7,9,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
24,Rex Ryan,NYJ,16,8,8,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
25,Dennis Allen,OAK,16,4,12,0,36,8,28,0,36,8,28,0,0,0,0,0,0,0,0,0,0,
26,Chip Kelly,PHI,16,10,6,0,47,26,21,0,63,28,35,0,1,0,1,1,0,1,1,0,1,
27,Mike Tomlin,PIT,16,8,8,0,218,143,74,1,218,143,74,1,0,0,0,15,8,7,15,8,7,
28,Mike McCoy,SDG,16,9,7,0,64,27,37,0,64,27,37,0,2,1,1,2,1,1,2,1,1,
29,Pete Carroll,SEA,16,13,3,0,171,108,62,1,235,141,93,1,3,3,0,17,10,7,20,11,9,Super Bowl Champions
30,Jim Harbaugh,SFO,16,12,4,0,64,44,19,1,64,44,19,1,3,2,1,8,5,3,8,5,3,
31,Jeff Fisher,STL,16,7,9,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,
32,Greg Schiano,TAM,16,4,12,0,32,11,21,0,32,11,21,0,0,0,0,0,0,0,0,0,0,
33,Mike Munchak,TEN,16,7,9,0,48,22,26,0,48,22,26,0,0,0,0,0,0,0,0,0,0,
34,Mike Shanahan,WAS,16,3,13,0,64,24,40,0,308,170,138,0,0,0,0,1,0,1,14,8,6,
