,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Michael Turner*,ATL,28,RB,16,15,334,1371,12,75,55,4.1,85.7,2
3,2,Steven Jackson*,STL,27,RB,16,16,330,1241,6,60,42,3.8,77.6,1
4,3,Arian Foster *+,HOU,24,RB,16,13,327,1616,16,90,74,4.9,101.0,3
5,4,Rashard Mendenhall,PIT,23,RB,16,16,324,1273,13,61,50,3.9,79.6,2
6,5,Cedric Benson ,CIN,28,RB,16,16,321,1111,7,59,26,3.5,69.4,7
7,6,Chris Johnson *,TEN,25,RB,16,16,316,1364,11,57,76,4.3,85.3,3
8,7,Ray Rice,BAL,23,RB,16,14,307,1220,5,53,50,4.0,76.3,0
9,8,Maurice Jones-Drew*,JAX,25,RB,14,14,299,1324,5,74,37,4.4,94.6,2
10,9,Adrian Peterson*,MIN,25,RB,15,15,283,1298,12,71,80,4.6,86.5,1
11,10,Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,53,48,4.5,77.2,7
12,11,Peyton Hillis,CLE,24,RB,16,14,270,1177,11,58,48,4.4,73.6,8
13,12,Thomas Jones,KAN,32,RB,16,10,245,896,6,39,70,3.7,56.0,3
14,13,Matt Forte ,CHI,25,RB,16,16,237,1069,6,43,68,4.5,66.8,3
15,14,Jamaal Charles*+,KAN,24,rb,16,6,230,1467,5,70,80,6.4,91.7,3
16,15,BenJarvus Green-Ellis,NWE,25,RB,16,11,229,1008,13,65,33,4.4,63.0,0
17,16,Darren McFadden,OAK,23,RB,13,13,223,1157,7,46,57,5.2,89.0,4
18,17,Fred Jackson,BUF,29,RB,16,13,222,927,5,40,39,4.2,57.9,5
19,18,LaDainian Tomlinson,NYJ,31,RB,15,13,219,914,6,43,31,4.2,60.9,3
20,19,LeSean McCoy,PHI,22,RB,15,13,207,1080,7,46,62,5.2,72.0,2
21,20,Frank Gore,SFO,27,RB,11,11,203,853,3,42,64,4.2,77.5,4
22,21,Marshawn Lynch ,2TM,24,,16,14,202,737,6,0,39,3.6,46.1,4
23,22,LeGarrette Blount,TAM,24,rb,13,7,201,1007,6,38,53,5.0,77.5,4
24,23,Ronnie Brown,MIA,29,RB,16,16,200,734,5,40,51,3.7,45.9,3
25,24,Brandon Jackson,GNB,25,RB,16,13,190,703,3,30,71,3.7,43.9,1
26,25,Shonn Greene,NYJ,25,,15,2,185,766,2,41,23,4.1,51.1,3
27,26,Felix Jones,DAL,23,rb,16,7,185,800,1,41,34,4.3,50.0,2
28,27,Knowshon Moreno,DEN,23,RB,13,13,182,779,5,35,35,4.3,59.9,3
29,28,Mike Tolbert,SDG,25,,15,4,182,735,11,43,36,4.0,49.0,5
30,29,Jonathan Stewart,CAR,23,RB,14,7,178,770,2,32,48,4.3,55.0,4
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Jahvid Best,DET,21,RB,16,9,171,555,4,25,45,3.2,34.7,1
33,31,Ryan Torain,WAS,24,RB,10,8,164,742,4,35,54,4.5,74.2,2
34,32,Ricky Williams,MIA,33,,16,0,159,673,2,26,45,4.2,42.1,4
35,33,Michael Bush,OAK,26,,14,3,158,655,8,32,30,4.1,46.8,0
36,34,Ryan Mathews,SDG,23,RB,12,9,158,678,7,25,31,4.3,56.5,5
37,35,Tim Hightower,ARI,24,RB,16,13,153,736,5,32,80,4.8,46.0,5
38,36,Brandon Jacobs,NYG,28,rb,16,5,147,823,9,38,73,5.6,51.4,2
39,37,Chris Ivory,NOR,22,,12,4,137,716,5,44,55,5.2,59.7,4
40,38,Donald Brown,IND,23,RB,13,8,129,497,2,27,49,3.9,38.2,0
41,39,Cadillac Williams,TAM,28,RB,16,9,125,437,2,19,45,3.5,27.3,1
42,40,Justin Forsett,SEA,25,rb,16,5,118,523,2,24,32,4.4,32.7,0
