,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Games,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
2,1,Derrick Brooks*+,TAM,31,RLB,16,16,1,3,0,3,6,2,0,0,0,0,3.0,137,109,28,4,,
3,2,Donnie Edwards,SDG,31,LILB,16,16,5,49,1,30,14,2,0,0,0,0,1.0,152,106,46,2,,
4,3,Lance Briggs,CHI,24,RLB,16,16,1,38,1,38,10,,,,,,0.5,127,103,24,7,,
5,4,Ray Lewis*+,BAL,29,RILB,15,15,0,0,0,0,6,1,0,2,0,0,1.0,147,101,46,6,,
6,5,Keith Bulluck,TEN,27,RLB,16,16,2,25,0,25,13,1,0,1,39,1,5.0,152,100,52,9,,
7,6,Danny Clark,OAK,27,MLB,16,16,0,0,0,0,5,1,0,0,0,0,2.0,130,99,31,10,,
8,7,Jamie Sharper,HOU,30,RILB,16,16,0,0,0,0,9,3,0,1,16,1,2.0,139,98,41,10,,
9,8,Rodney Harrison,NWE,32,SS,16,16,2,12,0,12,8,3,0,0,0,0,3.0,141,96,45,6,,
10,9,London Fletcher,BUF,29,MLB,16,16,0,0,0,0,4,2,0,1,0,0,3.5,144,94,50,10,,
11,10,Mike Peterson,JAX,28,MLB,16,16,0,0,0,0,1,1,0,1,0,0,5.0,126,93,33,9,,
12,11,Nick Barnett,GNB,23,MLB,16,16,1,16,0,16,6,0,0,1,7,0,3.0,123,92,31,9,,
13,12,Robert Griffith,CLE,34,SS,16,16,1,18,0,18,3,,,,,,1.0,119,92,27,8,,
14,13,Antonio Pierce,WAS,26,MLB,16,16,2,94,1,78,5,1,0,2,2,0,1.0,114,87,27,3,,
15,14,Marcus Washington*,WAS,27,LLB,16,16,0,0,0,0,3,1,0,1,-4,0,4.5,107,87,20,15,,
16,15,Keith Brooking*,ATL,29,LLB,16,16,3,41,0,27,6,2,0,1,4,0,2.5,102,86,16,2,,
17,16,Michael Green,CHI,28,SS,16,16,2,0,0,0,9,2,0,4,3,0,1.5,110,86,24,7,,
18,17,Bryan Scott,ATL,23,SS,16,16,1,22,0,22,5,1,0,1,1,0,2.5,97,86,11,2,,
19,18,Marcus Trufant,SEA,24,LCB,16,16,5,141,0,58,20,,,,,,1.0,96,86,10,3,,
20,19,Madieu Williams,CIN,23,FS,16,13,3,51,1,51,11,0,0,2,-3,0,2.0,103,86,17,6,,
21,20,Zach Thomas,MIA,31,MLB,13,13,0,0,0,0,4,,,,,,2.0,145,85,60,9,,
22,21,Ronde Barber*+,TAM,29,RCB,16,16,3,23,0,23,13,1,0,2,27,2,3.0,99,84,15,8,,
23,22,Cato June,IND,25,RLB,16,16,2,71,0,71,9,0,0,2,-1,0,0.0,110,84,26,6,,
24,23,Will Witherspoon,CAR,24,RLB,16,16,4,48,0,25,14,1,0,1,0,0,3.0,103,84,19,5,,
25,24,D.J. Williams,DEN,22,RLB,16,14,1,10,0,10,7,1,0,0,0,0,2.0,114,81,33,10,,
26,25,Derek Smith,SFO,29,MLB,14,14,0,0,0,0,3,0,0,2,46,1,1.5,110,80,30,5,,
27,26,Adrian Wilson,ARI,25,SS,16,16,3,62,0,27,11,2,0,2,35,1,1.0,102,80,22,9,,
28,27,Tebucky Jones,NOR,30,FS,16,16,1,55,0,55,4,1,0,1,0,0,0.0,102,79,23,0,,
29,28,Dan Morgan*,CAR,26,MLB,12,12,2,20,0,11,6,1,0,2,0,0,2.0,102,79,23,2,,
30,29,Eric Barton,NYJ,27,RLB,16,15,1,7,0,7,2,1,0,4,2,0,2.5,108,78,30,8,,
31,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
32,30,Tedy Bruschi*,NWE,31,RILB,16,16,3,70,0,36,6,2,0,0,0,0,3.5,124,78,46,7,,
33,31,Earl Holmes,DET,31,MLB,16,14,0,0,0,0,2,,,,,,0.0,111,78,33,6,,
34,32,James Darling,ARI,30,RLB,15,15,1,65,0,65,6,2,1,0,0,0,1.0,95,77,18,8,,
35,33,Jonathan Vilma,NYJ,22,MLB,16,14,3,58,1,38,5,0,0,1,0,0,2.0,108,77,31,8,,
36,34,Adam Archuleta,STL,27,SS,16,14,0,0,0,0,3,1,0,1,93,1,2.0,89,76,13,4,,
37,35,Akin Ayodele,JAX,25,RLB,16,16,0,0,0,0,3,2,0,1,0,0,2.0,93,76,17,2,,
38,36,Brad Kassell,TEN,24,MLB,15,14,0,0,0,0,1,1,0,1,0,0,0.0,104,76,28,4,,
39,37,Teddy Lehman,DET,23,RLB,16,16,1,1,0,1,3,1,0,0,0,0,1.0,103,76,27,7,,
40,38,Michael Lewis*,PHI,24,SS,16,16,1,0,0,0,12,2,0,1,0,0,0.0,90,76,14,4,,
41,39,Brian Simmons ,CIN,29,RLB,15,15,2,61,1,50,4,3,0,1,18,0,1.0,107,76,31,2,,
42,40,Pisa Tinoisamoa,STL,23,RLB,16,16,0,0,0,0,4,0,0,1,10,0,1.5,95,76,19,10,,
43,41,Will Allen,NYG,26,LCB,16,16,1,11,0,11,19,1,0,0,0,0,1.0,81,75,6,3,,
44,42,Terrence McGee*,BUF,24,LCB,16,13,3,21,0,21,15,0,2,1,38,0,2.0,92,75,17,4,,
45,43,Dat Nguyen,DAL,29,MLB,16,16,3,19,0,19,5,1,0,1,9,0,1.0,107,75,32,2,,
46,44,Dwight Smith,TAM,26,SS,16,16,3,13,0,13,13,3,0,0,0,0,0.0,86,75,11,3,,
47,45,Jay Bellamy,NOR,32,SS,16,16,0,0,0,0,1,2,0,3,12,0,0.0,92,74,18,3,,
48,46,Dunta Robinson,HOU,22,RCB,16,16,6,146,0,61,19,3,0,0,0,0,3.0,88,74,14,1,,
49,47,Jeff Ulbrich ,SFO,27,LLB,16,14,1,19,0,19,3,1,0,0,0,0,1.0,93,74,19,9,,
50,48,Roy Williams*,DAL,24,FS,16,16,2,53,0,33,10,1,0,0,0,0,0.0,95,74,21,3,,
51,49,Jerametrius Butler,STL,26,LCB,16,16,5,15,0,10,19,0,0,1,2,0,0.0,79,73,6,0,,
52,50,Erik Coleman,NYJ,22,FS,16,16,4,43,0,37,12,0,0,1,0,0,2.0,100,73,27,4,,
53,51,Gary Baxter,BAL,26,RCB,16,16,1,33,0,33,13,2,1,0,0,0,2.0,88,72,16,3,,
54,52,Terrence Kiel,SDG,24,SS,16,16,2,31,0,31,10,0,0,1,0,0,1.0,97,72,25,3,,
55,53,Al Wilson,DEN,27,MLB,16,16,2,17,1,10,5,2,0,0,0,0,2.5,105,72,33,9,,
56,54,Antoine Winfield,MIN,27,LCB,14,12,3,89,0,56,8,3,0,1,0,0,0.0,88,72,16,3,,
57,55,Shelton Quarles,TAM,33,MLB,15,15,0,0,0,0,3,,,,,,3.5,104,71,33,3,,
58,56,David Thornton ,IND,26,LLB,16,15,1,5,0,5,1,2,0,0,0,0,0.0,94,71,23,4,,
59,57,Kenoy Kennedy ,DEN,27,SS,16,16,1,21,0,21,9,2,0,1,5,0,2.0,88,70,18,3,,
60,58,Chris Gamble,CAR,21,RCB,16,16,6,15,0,13,14,1,1,1,0,0,0.0,75,69,6,3,,
61,59,Champ Bailey*+,DEN,26,LCB,16,16,3,0,0,0,12,,,,,,0.0,81,68,13,6,,
62,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
63,60,Randall Godfrey,SDG,31,RILB,15,15,0,0,0,0,3,3,0,1,0,0,2.0,87,68,19,7,,
64,61,Isaiah Kacyvenski,SEA,27,LLB,16,13,,,,,,1,0,0,0,0,1.0,89,68,21,4,,
65,62,Troy Polamalu*,PIT,23,SS,16,16,5,58,1,26,14,1,0,0,0,0,1.0,97,68,29,4,,
66,63,Dewayne Washington,JAX,32,RCB,16,16,2,0,0,0,9,1,0,0,0,0,0.0,77,68,9,2,,
67,64,Will Demps,BAL,25,FS,16,16,1,0,0,0,7,2,0,2,2,0,2.5,87,67,20,3,,
68,65,James Farrior*+,PIT,29,LILB,16,16,4,113,1,41,12,3,0,3,0,0,3.0,95,67,28,9,,
69,66,Scott Fujita,KAN,25,LLB,16,16,0,0,0,0,4,,,,,,4.5,90,67,23,9,,
70,67,Anthony Henry ,CLE,28,LCB,15,14,4,83,0,51,12,,,,,,0.0,76,67,9,1,,
