,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,2003 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
1,Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
2,Dave McGinnis,ARI,16,4,12,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,
3,Wade Phillips,ATL,3,2,1,0,3,2,1,0,146,82,64,0,0,0,0,0,0,0,6,1,5,Coach starting week 15
4,Dan Reeves,ATL,13,3,10,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,Fired after week 14
5,Brian Billick,BAL,16,10,6,0,144,80,64,0,144,80,64,0,1,0,1,8,5,3,8,5,3,
6,Gregg Williams,BUF,16,6,10,0,48,17,31,0,56,22,34,0,0,0,0,0,0,0,0,0,0,
7,John Fox,CAR,16,11,5,0,144,73,71,0,256,133,123,0,4,3,1,8,5,3,15,8,7,NFC Champions
8,Dick Jauron,CHI,16,7,9,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,
9,Marvin Lewis,CIN,16,8,8,0,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,
10,Butch Davis,CLE,16,5,11,0,59,24,35,0,59,24,35,0,0,0,0,1,0,1,1,0,1,
11,Bill Parcells,DAL,16,10,6,0,64,34,30,0,303,172,130,1,1,0,1,2,0,2,19,11,8,
12,Mike Shanahan,DEN,16,10,6,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,
13,Steve Mariucci,DET,16,5,11,0,43,15,28,0,139,72,67,0,0,0,0,0,0,0,7,3,4,
14,Mike Sherman,GNB,16,10,6,0,96,57,39,0,96,57,39,0,2,1,1,6,2,4,6,2,4,
15,Dom Capers,HOU,16,5,11,0,64,18,46,0,128,48,80,0,0,0,0,0,0,0,2,1,1,
16,Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,3,2,1,13,7,6,19,9,10,
17,Jack Del Rio,JAX,16,5,11,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,
18,Dick Vermeil,KAN,16,13,3,0,80,44,36,0,229,120,109,0,1,0,1,1,0,1,11,6,5,
19,Dave Wannstedt,MIA,16,10,6,0,73,42,31,0,169,82,87,0,0,0,0,3,1,2,5,2,3,
20,Mike Tice,MIN,16,9,7,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,
21,Jim Haslett,NOR,16,8,8,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,
22,Bill Belichick,NWE,16,14,2,0,331,242,89,0,411,278,133,0,3,3,0,41,30,11,43,31,12,Super Bowl Champions
23,Jim Fassel,NYG,16,4,12,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,
24,Herm Edwards,NYJ,16,6,10,0,80,39,41,0,128,54,74,0,0,0,0,5,2,3,6,2,4,
25,Bill Callahan,OAK,16,4,12,0,32,15,17,0,43,18,25,0,0,0,0,3,2,1,3,2,1,
26,Andy Reid,PHI,16,12,4,0,224,130,93,1,347,217,129,1,2,1,1,19,10,9,29,15,14,
27,Bill Cowher,PIT,16,6,10,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,
28,Marty Schottenheimer,SDG,16,4,12,0,80,47,33,0,327,200,126,1,0,0,0,2,0,2,18,5,13,
29,Mike Holmgren,SEA,16,10,6,0,160,86,74,0,272,161,111,0,1,0,1,10,4,6,24,13,11,
30,Dennis Erickson,SFO,16,7,9,0,32,9,23,0,96,40,56,0,0,0,0,0,0,0,0,0,0,
31,Mike Martz,STL,16,12,4,0,85,53,32,0,85,53,32,0,1,0,1,7,3,4,7,3,4,
32,Jon Gruden,TAM,16,7,9,0,112,57,55,0,219,112,107,0,0,0,0,5,3,2,9,5,4,
33,Jeff Fisher,TEN,16,12,4,0,262,142,120,0,339,173,165,1,2,1,1,11,5,6,11,5,6,
34,Steve Spurrier,WAS,16,5,11,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,
