,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Games,Rushing,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
2,1,Ricky Williams*+,MIA,25,RB,16,16,383,1853,16,94,63,4.8,115.8,7
3,2,LaDainian Tomlinson*,SDG,23,RB,16,16,372,1683,14,96,76,4.5,105.2,3
4,3,Eddie George,TEN,29,RB,16,16,343,1165,12,62,35,3.4,72.8,1
5,4,Travis Henry *,BUF,24,RB,16,16,325,1438,13,78,34,4.4,89.9,11
6,5,Deuce McAllister*,NOR,24,RB,15,15,325,1388,13,68,62,4.3,92.5,4
7,6,Corey Dillon,CIN,28,RB,16,16,314,1311,7,72,67,4.2,81.9,5
8,7,Priest Holmes*+,KAN,29,RB,14,14,313,1615,21,105,56,5.2,115.4,1
9,8,Jamal Lewis,BAL,23,RB,16,15,308,1327,6,66,75,4.3,82.9,8
10,9,Tiki Barber,NYG,27,RB,16,15,304,1387,11,71,70,4.6,86.7,9
11,10,Shaun Alexander ,SEA,25,RB,16,16,295,1175,16,64,58,4.0,73.4,3
12,11,Fred Taylor,JAX,26,RB,16,16,287,1314,8,50,63,4.6,82.1,3
13,12,Ahman Green*,GNB,25,RB,14,14,286,1240,7,57,43,4.3,88.6,4
14,13,Edgerrin James,IND,24,RB,14,14,277,989,2,59,20,3.6,70.6,4
15,14,Clinton Portis,DEN,21,RB,16,12,273,1508,15,82,59,5.5,94.3,5
16,15,Duce Staley,PHI,27,RB,16,16,269,1029,5,58,57,3.8,64.3,3
17,16,Curtis Martin ,NYJ,29,RB,16,16,261,1094,7,55,35,4.2,68.4,0
18,17,Michael Bennett*,MIN,24,RB,16,16,255,1296,5,47,85,5.1,81.0,4
19,18,Emmitt Smith ,DAL,33,RB,16,16,254,975,5,50,30,3.8,60.9,3
20,19,Antowain Smith,NWE,30,RB,16,15,252,982,6,58,42,3.9,61.4,2
21,20,William Green,CLE,23,RB,16,10,243,887,6,39,64,3.7,55.4,4
22,21,James Stewart,DET,31,RB,14,9,231,1021,4,47,56,4.4,72.9,0
23,22,Warrick Dunn,ATL,27,RB,15,14,230,927,7,39,59,4.0,61.8,4
24,23,Garrison Hearst,SFO,31,RB,16,16,215,972,8,53,40,4.5,60.8,4
25,24,Anthony Thomas,CHI,25,RB,12,12,214,721,6,35,34,3.4,60.1,5
26,25,Marshall Faulk*,STL,29,RB,14,10,212,953,8,54,44,4.5,68.1,4
27,26,Lamar Smith,CAR,32,RB,11,11,209,737,7,32,59,3.5,67.0,2
28,27,Stephen Davis ,WAS,28,RB,12,12,207,820,7,49,33,4.0,68.3,4
29,28,Michael Pittman,TAM,27,RB,16,15,204,718,1,37,21,3.5,44.9,3
30,29,Jonathan Wells,HOU,23,RB,16,11,197,529,3,23,37,2.7,33.1,3
31,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
32,30,Amos Zereoue,PIT,26,rb,16,5,193,762,4,36,42,3.9,47.6,2
33,31,Marcel Shipp,ARI,24,rb,15,6,188,834,6,44,56,4.4,55.6,4
34,32,Jerome Bettis,PIT,30,RB,13,11,187,666,9,42,41,3.6,51.2,1
35,33,Charlie Garner,OAK,30,RB,16,15,182,962,7,49,36,5.3,60.1,0
36,34,James Allen,HOU,27,rb,16,5,155,519,0,22,32,3.3,32.4,1
37,35,Mike Alstott *,TAM,29,FB,16,9,146,548,5,37,32,3.8,34.3,4
38,36,Kevan Barlow,SFO,23,,14,0,145,675,4,35,35,4.7,48.2,2
39,37,Thomas Jones,ARI,24,RB,9,9,138,511,2,24,58,3.7,56.8,3
40,38,T.J. Duckett,ATL,21,,12,3,130,507,4,31,33,3.9,42.3,0
41,39,Ron Dayne,NYG,24,,16,1,125,428,3,27,30,3.4,26.8,1
42,40,Kenny Watson,WAS,24,,16,4,116,534,1,32,24,4.6,33.4,0
43,41,Michael Vick*,ATL,22,QB,15,15,113,777,8,45,46,6.9,51.8,9
