,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,David Akers,PHI,34,,16,0,2,2,11,11,12,10,10,8,5,2,40,33,51,82.5%,45,45,100.0%,89,5834,17,19.1%,65.6,,,,,
3,2,Stephen Gostkowski*+,NWE,24,,16,0,,,11,9,17,17,11,9,1,1,40,36,50,90.0%,40,40,100.0%,95,6027,17,17.9%,63.4,,,,,
4,3,Matt Bryant,TAM,33,,16,0,,,12,12,15,15,8,5,3,,38,32,49,84.2%,36,35,97.2%,,,,,,,,,,
5,4,John Carney*,NYG,44,,15,0,,,15,15,15,14,7,5,1,1,38,35,51,92.1%,38,38,100.0%,79,4738,3,3.8%,60.0,,,,,
6,5,Rian Lindell,BUF,31,,16,0,1,1,8,7,11,11,15,10,3,1,38,30,53,78.9%,34,34,100.0%,77,4704,10,13.0%,61.1,,,,,
7,6,Josh Brown ,STL,29,,16,0,,,8,8,7,7,13,10,8,6,36,31,54,86.1%,19,19,100.0%,66,4446,8,12.1%,67.4,1,20,20,0,20.0
8,7,Phil Dawson,CLE,33,,16,0,,,10,10,14,12,6,5,6,3,36,30,56,83.3%,18,18,100.0%,66,4228,12,18.2%,64.1,1,33,33,0,33.0
9,8,Shaun Suisham,WAS,27,,16,0,,,7,7,9,7,16,11,4,1,36,26,50,72.2%,25,25,100.0%,68,4199,9,13.2%,61.8,,,,,
10,9,Mason Crosby,GNB,24,,16,0,1,1,8,8,13,10,6,5,6,3,34,27,53,79.4%,46,46,100.0%,92,5785,17,18.5%,62.9,,,,,
11,10,Ryan Longwell ,MIN,34,,16,0,,,10,10,9,7,9,6,6,6,34,29,54,85.3%,40,40,100.0%,84,5411,6,7.1%,64.4,,,,,
12,11,Matt Prater,DEN,24,,16,0,,,8,7,9,8,11,5,6,5,34,25,56,73.5%,40,39,97.5%,83,5396,19,22.9%,65.0,,,,,
13,12,Rob Bironas,TEN,30,,16,0,,,6,6,7,7,19,15,1,1,33,29,51,87.9%,40,40,100.0%,85,5615,22,25.9%,66.1,,,,,
14,13,Kris Brown,HOU,32,,16,0,,,10,9,10,10,10,8,3,2,33,29,53,87.9%,37,37,100.0%,84,5378,9,10.7%,64.0,,,,,
15,14,Joe Nedney,SFO,35,,16,0,,,9,9,10,10,11,8,3,2,33,29,53,87.9%,34,34,100.0%,78,4948,9,11.5%,63.4,,,,,
16,15,Matt Stover,BAL,40,,16,0,,,11,11,12,11,9,5,1,,33,27,47,81.8%,41,41,100.0%,42,2617,5,11.9%,62.3,,,,,
17,16,Nate Kaeding,SDG,26,,16,0,,,13,13,10,10,8,3,1,1,32,27,57,84.4%,46,46,100.0%,92,5854,8,8.7%,63.6,,,,,
18,17,Jason Elam,ATL,38,,16,0,,,11,11,8,7,10,10,2,1,31,29,50,93.5%,42,42,100.0%,,,,,,,,,,
19,18,John Kasay,CAR,39,,16,0,,,7,7,9,9,12,11,3,1,31,28,50,90.3%,46,46,100.0%,2,41,,,20.5,,,,,
20,19,Jeff Reed,PIT,29,,16,0,1,1,9,9,9,8,10,8,2,1,31,27,53,87.1%,37,36,97.3%,79,4894,9,11.4%,61.9,,,,,
21,20,Sebastian Janikowski,OAK,30,,16,0,,,11,11,8,8,4,2,7,3,30,24,57,80.0%,26,25,96.2%,67,4356,22,32.8%,65.0,,,,,
22,21,Robbie Gould,CHI,26,,16,0,,,6,6,12,12,11,8,,,29,26,48,89.7%,41,41,100.0%,79,5124,9,11.4%,64.9,,,,,
23,22,Jay Feely,NYJ,32,,15,0,,,9,9,12,9,5,4,2,2,28,24,55,85.7%,39,39,100.0%,80,5036,7,8.8%,63.0,,,,,
24,23,Neil Rackers,ARI,32,,16,0,,,9,9,11,9,6,6,2,1,28,25,54,89.3%,44,44,100.0%,90,5646,15,16.7%,62.7,,,,,
25,24,Olindo Mare,SEA,35,,16,0,,,7,7,10,9,6,5,4,3,27,24,51,88.9%,30,30,100.0%,71,4703,22,31.0%,66.2,,,,,
26,25,Dan Carpenter,MIA,23,,16,0,,,4,4,7,7,13,9,1,1,25,21,50,84.0%,40,40,100.0%,75,4758,7,9.3%,63.4,,,,,
27,26,Josh Scobee ,JAX,26,,16,0,,,7,7,6,3,7,5,5,4,25,19,53,76.0%,33,33,100.0%,66,4143,10,15.2%,62.8,,,,,
28,27,Adam Vinatieri,IND,36,,16,0,,,3,3,13,11,7,4,2,2,25,20,52,80.0%,43,43,100.0%,80,5176,8,10.0%,64.7,,,,,
